2777778	2717391	2659574	2604167	2551020	2500000	2450980	2403846
2358491	2314815	2272727	2232143	2192982	2155172	2118644	2083333
2049180	2016129	1984127	1953125	1923077	1893939	1865672	1838235
1811594	1785714	1760563	1736111	1712329	1689189	1666667	1644737
1623377	1602564	1582278	1562500	1543210	1524390	1506024	1488095
1470588	1453488	1436782	1420455	1404494	1388889	1373626	1358696
1344086	1329787	1315789	1302083	1288660	1275510	1262626	1250000
1237624	1225490	1213592	1201923	1190476	1179245	1168224	1157407
1146789	1136364	1126126	1116071	1106195	1096491	1086957	1077586
1068376	1059322	1050420	1041667	1033058	1024590	1016260	1008065
1000000	992063	984252	976563	968992	961538	954198	946970
939850	932836	925926	919118	912409	905797	899281	892857
886525	880282	874126	868056	862069	856164	850340	844595
838926	833333	827815	822368	816993	811688	806452	801282
796178	791139	786164	781250	776398	771605	766871	762195
757576	753012	748503	744048	739645	735294	730994	726744
722543	718391	714286	710227	706215	702247	698324	694444
690608	686813	683060	679348	675676	672043	668449	664894
661376	657895	654450	651042	647668	644330	641026	637755
634518	631313	628141	625000	621891	618812	615764	612745
609756	606796	603865	600962	598086	595238	592417	589623
586854	584112	581395	578704	576037	573394	570776	568182
565611	563063	560538	558036	555556	553097	550661	548246
545852	543478	541126	538793	536481	534188	531915	529661
527426	525210	523013	520833	518672	516529	514403	512295
510204	508130	506073	504032	502008	500000	498008	496032
494071	492126	490196	488281	486381	484496	482625	480769
478927	477099	475285	473485	471698	469925	468165	466418
464684	462963	461255	459559	457875	456204	454545	452899
451264	449640	448029	446429	444840	443262	441696	440141
438596	437063	435540	434028	432526	431034	429553	428082
426621	425170	423729	422297	420875	419463	418060	416667
